Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,1.021,0.909,0.872,0.908,0.983,1.025,0.975,0.879,0.905,0.901,0.684
Millions of Metric tons of CO2,CO2 emissions,2.44,2.011,1.912,1.884,1.945,1.681,1.758,1.316,1.597,1.427,1.405
Millions of Metric tons of CO2,CO2 emissions,0.292,0.257,0.111,0.108,0.103,0.098,0.095,0.082,0.079,0.072,0.061
Millions of Metric tons of CO2,CO2 emissions,0.58,0.591,0.325,0.336,0.33,0.335,0.341,0.311,0.288,0.29,0.302
Millions of Metric tons of CO2,CO2 emissions,4.333,3.993,5.258,5.635,5.074,5.561,5.574,5.283,3.979,3.814,3.833
Millions of Metric tons of CO2,CO2 emissions,0.304,0.255,0.181,0.193,0.179,0.17,0.16,0.133,0.127,0.117,0.103
Millions of Metric tons of CO2,CO2 emissions,2.158,1.949,1.238,1.252,1.217,1.215,1.041,0.877,0.797,0.841,0.849
Millions of Metric tons of CO2,CO2 emissions,0.612,0.571,0.566,0.565,0.628,0.71,0.727,0.658,0.663,0.644,0.624
Millions of Metric tons of CO2,CO2 emissions,0.304,0.231,0.484,0.525,0.519,0.529,0.511,0.457,0.465,0.445,0.376
Millions of Metric tons of CO2,CO2 emissions,10.942,10.504,11.102,10.756,9.493,9.298,10.195,9.393,9.19,9.917,8.663
Millions of Metric tons of CO2,CO2 emissions,6.124,6.774,7.89,8.474,9.153,10.031,10.311,9.649,9.131,9.137,6.878
Millions of Metric tons of CO2,CO2 emissions,0.563,0.418,0.091,0.097,0.102,0.107,0.113,0.105,0.106,0.111,0.11
Millions of Metric tons of CO2,CO2 emissions,0.006,0.006,0.006,0.006,0.006,0.007,0.008,0.008,0.006,0.007,0.007
Millions of Metric tons of CO2,CO2 emissions,0.012,0.013,0.011,0.014,0.013,0.013,0.015,0.015,0.016,0.017,0.018
Millions of Metric tons of CO2,CO2 emissions,0.005,0.007,0.008,0.009,0.009,0.009,0.01,0.01,0.009,0.009,0.01
Millions of Metric tons of CO2,CO2 emissions,0.537,0.533,0.571,0.586,0.598,0.623,0.545,0.463,0.452,0.469,0.496
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.001,0.096,0.099,0.071,0.09,0.044,0.007,0.017,0.002,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,0.441,0.248,0.184,0.179,0.235,0.252,0.28,0.153,0.254,0.18,0.235
Millions of Metric tons of CO2,CO2 emissions,0.004,0.004,0.004,0.005,0.006,0.004,0.006,0.004,0.003,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0.214,0.199,0.19,0.218,0.225,0.213,0.196,0.182,0.166,0.172,0.192
Millions of Metric tons of CO2,CO2 emissions,0.011,0.017,0.018,0.02,0.019,0.018,0.017,0.024,0.027,0.022,0.022
Millions of Metric tons of CO2,CO2 emissions,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.003,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,2.58,2.725,2.646,2.539,2.643,2.581,2.655,2.256,2.448,2.506,2.951
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.028,0.03,0.028,0.033,0.034,0.032,0.031,0.031,0.036,0.037,0.037
Millions of Metric tons of CO2,CO2 emissions,0.001,0,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0.004,0.006,0.004,0.006,0.005,0.005,0.005,0.007,0.007,0.007,0.007
Millions of Metric tons of CO2,CO2 emissions,0.009,0.01,0.01,0.012,0.012,0.011,0.012,0.014,0.015,0.013,0.014
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0.051,0.059,0.043,0.046,0.05,0.045,0.049,0.059,0.063,0.067,0.059
Millions of Metric tons of CO2,CO2 emissions,0.005,0.006,0.004,0.005,0.006,0.005,0.005,0.005,0.002,0.005,0.005
Millions of Metric tons of CO2,CO2 emissions,1.24,0.553,0.224,0.268,0.308,0.249,0.219,0.263,0.199,0.321,0.267
Millions of Metric tons of CO2,CO2 emissions,1.244,2.386,2.55,2.697,2.376,2.453,2.241,1.865,2.055,2.308,2.291
Millions of Metric tons of CO2,CO2 emissions,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0.009,0.008,0.01,0.01,0.011,0.014,0.015,0.011,0.007,0.009,0.011
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.003,0.005,0.005,0.007,0.007,0.005,0.005,0.006,0.002,0.005,0.005
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0.001,0.001,0,0,0.001
Millions of Metric tons of CO2,CO2 emissions,0.005,0.01,0.011,0.013,0.015,0.015,0.013,0.013,0.004,0.01,0.012
Millions of Metric tons of CO2,CO2 emissions,0.005,0.007,0.005,0.007,0.008,0.006,0.006,0.006,0.001,0.007,0.007
Millions of Metric tons of CO2,CO2 emissions,0.001,0.021,0,0,0,0,0.024,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.038,0.043,0.041,0.049,0.049,0.055,0.055,0.058,0.044,0.053,0.057
Millions of Metric tons of CO2,CO2 emissions,0.186,0.206,0.192,0.206,0.202,0.203,0.204,0.263,0.317,0.257,0.246
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0.001,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.002,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0.691,0.309,0.124,0.148,0.17,0.137,0.12,0.146,0.128,0.111,0.115
Millions of Metric tons of CO2,CO2 emissions,0.009,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008
Millions of Metric tons of CO2,CO2 emissions,0.003,0.004,0.007,0.01,0.01,0.008,0.012,0.013,0.012,0.013,0.012
Millions of Metric tons of CO2,CO2 emissions,0.006,0.009,0.008,0.006,0.007,0.009,0.013,0.014,0.015,0.011,0.01
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,0.864,0.83,0.686,0.717,0.621,0.665,0.697,0.741,0.577,0.57,0.548
Millions of Metric tons of CO2,CO2 emissions,0.126,0.111,0.103,0.107,0.118,0.121,0.109,0.101,0.091,0.098,0.101
Millions of Metric tons of CO2,CO2 emissions,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0.029,0.024,0.03,0.026,0.022,0.027,0.027,0.029,0.034,0.035,0.035
Millions of Metric tons of CO2,CO2 emissions,0.191,0.227,0.072,0.057,0.062,0.059,0.109,0.106,0.109,0.11,0.106
Millions of Metric tons of CO2,CO2 emissions,0.692,0.701,0.84,0.826,0.852,0.791,0.837,0.839,0.796,0.826,0.858
Millions of Metric tons of CO2,CO2 emissions,0.316,0.324,0.335,0.364,0.301,0.307,0.364,0.356,0.38,0.377,0.343
Millions of Metric tons of CO2,CO2 emissions,0.026,0.021,0.015,0.013,0.011,0.014,0.017,0.021,0.022,0.022,0.021
Millions of Metric tons of CO2,CO2 emissions,1.756,0.39,0.299,0.372,0.258,0.334,0.276,0.274,0.267,0.31,0.381
Millions of Metric tons of CO2,CO2 emissions,1.315,0.549,0.591,0.784,0.664,0.66,0.702,0.873,0.896,1.337,1.619
Millions of Metric tons of CO2,CO2 emissions,0.812,0.942,0.9,0.894,0.902,0.916,0.827,1.01,1.076,1.111,0.987
Millions of Metric tons of CO2,CO2 emissions,0.018,0.011,0.009,0.01,0.009,0.008,0.008,0.01,0.011,0.013,0.014
Millions of Metric tons of CO2,CO2 emissions,0.603,0.512,0.718,0.609,0.78,0.733,0.756,0.891,0.547,0.584,0.658
Millions of Metric tons of CO2,CO2 emissions,0.034,0.031,0.023,0.017,0.018,0.015,0.026,0.026,0.024,0.024,0.022
Millions of Metric tons of CO2,CO2 emissions,0.05,0.033,0.026,0.032,0.032,0.03,0.028,0.031,0.034,0.035,0.035
Millions of Metric tons of CO2,CO2 emissions,30.32,27.816,29.752,34.399,29.677,25.645,27.418,28.193,24.861,26.2,22.748
Millions of Metric tons of CO2,CO2 emissions,0.122,0.07,0.083,0.072,0.094,0.065,0.059,0.068,0.075,0.077,0.07
Millions of Metric tons of CO2,CO2 emissions,0.097,0.085,0.06,0.036,0.054,0.027,0.041,0.048,0.05,0.049,0.049
Millions of Metric tons of CO2,CO2 emissions,0.004,0.006,0.005,0.004,0.005,0.005,0.002,0.002,0.001,0.002,0.005
Millions of Metric tons of CO2,CO2 emissions,0.511,0.419,0.504,0.4,0.39,0.379,0.326,0.331,0.332,0.347,0.351
Millions of Metric tons of CO2,CO2 emissions,0.078,0.071,0.041,0.026,0.026,0.034,0.03,0.033,0.036,0.035,0.034
Millions of Metric tons of CO2,CO2 emissions,0.028,0.034,0.016,0.013,0.023,0.015,0.017,0.025,0.027,0.027,0.029
Millions of Metric tons of CO2,CO2 emissions,2.784,2.371,2.064,2.687,2.568,2.048,2.803,3.183,3.272,3.321,3.264
Millions of Metric tons of CO2,CO2 emissions,0.064,0.042,0.04,0.047,0.047,0.048,0.036,0.038,0.038,0.041,0.042
Millions of Metric tons of CO2,CO2 emissions,0.044,0.039,0.038,0.038,0.034,0.047,0.028,0.031,0.032,0.033,0.035
Millions of Metric tons of CO2,CO2 emissions,0.103,0.101,0.076,0.097,0.095,0.069,0.059,0.104,0.077,0.085,0.116
Millions of Metric tons of CO2,CO2 emissions,0.261,0.141,0.272,0.224,0.204,0.192,0.132,0.192,0.191,0.21,0.221
Millions of Metric tons of CO2,CO2 emissions,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.003
Millions of Metric tons of CO2,CO2 emissions,0.014,0.014,0.008,0.011,0.013,0.015,0.013,0.015,0.016,0.018,0.015
Millions of Metric tons of CO2,CO2 emissions,2.135,1.51,1.829,1.453,1.391,1.4,1.394,1.395,1.467,1.481,1.464
Millions of Metric tons of CO2,CO2 emissions,0.012,0.008,0.009,0.009,0.012,0.013,0.01,0.012,0.01,0.01,0.011
Millions of Metric tons of CO2,CO2 emissions,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.006
Millions of Metric tons of CO2,CO2 emissions,0.175,0.091,0.111,0.123,0.115,0.136,0.117,0.115,0.121,0.11,0.111
Millions of Metric tons of CO2,CO2 emissions,0.331,0.175,0.238,0.288,0.293,0.285,0.307,0.355,0.392,0.567,0.691
Millions of Metric tons of CO2,CO2 emissions,0.052,0.014,0.036,0.036,0.043,0.035,0.049,0.056,0.055,0.056,0.053
Millions of Metric tons of CO2,CO2 emissions,0.116,0.09,0.052,0.042,0.065,0.041,0.044,0.054,0.049,0.046,0.044
Millions of Metric tons of CO2,CO2 emissions,0.182,0.101,0.097,0.101,0.043,0.102,0.028,0.035,0.033,0.033,0.031
Millions of Metric tons of CO2,CO2 emissions,0.031,0.026,0.009,0.007,0.008,0.006,0.008,0.01,0.009,0.008,0.007
Millions of Metric tons of CO2,CO2 emissions,0.081,0.064,0.072,0.072,0.06,0.054,0.051,0.062,0.07,0.071,0.067
Millions of Metric tons of CO2,CO2 emissions,0.034,0.025,0.021,0.019,0.024,0.016,0.017,0.02,0.021,0.023,0.026
Millions of Metric tons of CO2,CO2 emissions,0.055,0.103,0.038,0.028,0.036,0.029,0.026,0.029,0.028,0.026,0.023
Millions of Metric tons of CO2,CO2 emissions,0.153,0.113,0.1,0.093,0.083,0.083,0.066,0.071,0.069,0.066,0.062
Millions of Metric tons of CO2,CO2 emissions,0.159,0.101,0.063,0.058,0.058,0.079,0.093,0.092,0.091,0.093,0.097
Millions of Metric tons of CO2,CO2 emissions,0.064,0.052,0.096,0.054,0.063,0.056,0.063,0.058,0.059,0.061,0.057
Millions of Metric tons of CO2,CO2 emissions,1.108,1.037,0.995,0.636,0.66,0.336,0.577,0.381,0.282,0.217,0.19
Millions of Metric tons of CO2,CO2 emissions,0.513,0.414,0.698,0.532,0.559,0.523,0.784,0.791,0.812,0.782,0.75
Millions of Metric tons of CO2,CO2 emissions,0.057,0.036,0.063,0.072,0.055,0.046,0.027,0.026,0.019,0.028,0.031
Millions of Metric tons of CO2,CO2 emissions,0.007,0.008,0.034,0.033,0.039,0.043,0.048,0.066,0.077,0.087,0.103
Millions of Metric tons of CO2,CO2 emissions,0.01,0.012,0.019,0.012,0.013,0.013,0.016,0.022,0.027,0.027,0.032
Millions of Metric tons of CO2,CO2 emissions,0.171,0.212,0.389,0.315,0.34,0.324,0.31,0.324,0.364,0.372,0.369
Millions of Metric tons of CO2,CO2 emissions,0.104,0.104,0.13,0.148,0.16,0.172,0.236,0.241,0.24,0.374,0.577
Millions of Metric tons of CO2,CO2 emissions,0.004,0.004,0.006,0.006,0.006,0.007,0.008,0.011,0.013,0.014,0.017
Millions of Metric tons of CO2,CO2 emissions,0.001,0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.164,0.303,0.052,0.05,0.127,0.283,0.468,0.565,0.634,0.633,0.706
Millions of Metric tons of CO2,CO2 emissions,0.035,0.058,0.023,0.006,0.008,0.006,0.006,0.016,0.007,0.008,0.011
Millions of Metric tons of CO2,CO2 emissions,0.017,0.015,0.006,0.005,0.005,0.004,0.005,0.008,0.01,0.011,0.013
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.006,0.006,0.007,0.007,0.008,0.012,0.014,0.016,0.019
Millions of Metric tons of CO2,CO2 emissions,0.008,0.015,0.013,0.004,0.005,0.004,0.004,0.01,0.005,0.006,0.007
Millions of Metric tons of CO2,CO2 emissions,1.246,1.065,0.924,0.934,0.926,0.749,1.548,2.408,3.418,3.681,3.93
Millions of Metric tons of CO2,CO2 emissions,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0.002,0.003,0.009,0.006,0.007,0.008,0.009,0.012,0.015,0.017,0.02
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,0.031,0.039,0.085,0.072,0.078,0.083,0.085,0.1,0.106,0.109,0.111
Millions of Metric tons of CO2,CO2 emissions,0.001,0.002,0.01,0.011,0.012,0.013,0.015,0.02,0.023,0.026,0.031
Millions of Metric tons of CO2,CO2 emissions,0.002,0.003,0.006,0.003,0.004,0.004,0.004,0.006,0.007,0.008,0.009
Millions of Metric tons of CO2,CO2 emissions,0.286,0.44,0.476,0.491,0.522,0.517,0.568,0.626,0.708,0.734,0.827
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.06,0.069,0.225,0.225,0.227,0.21,0.169,0.134,0.226,0.215,0.219
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.041,0.062,0.083,0.074,0.07,0.057,0.061,0.068,0.093,0.098,0.116
Millions of Metric tons of CO2,CO2 emissions,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0.007,0.011,0.007,0.009,0.01,0.01,0.01,0.012,0.013,0.015,0.018
Millions of Metric tons of CO2,CO2 emissions,0.001,0.002,0.026,0.025,0.031,0.031,0.042,0.059,0.079,0.237,0.261
Millions of Metric tons of CO2,CO2 emissions,0.002,0.003,0.007,0.007,0.007,0.008,0.009,0.013,0.015,0.017,0.021
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.006,0.007,0.008,0.01
Millions of Metric tons of CO2,CO2 emissions,0.006,0.008,0.016,0.009,0.011,0.012,0.012,0.017,0.019,0.021,0.025
Millions of Metric tons of CO2,CO2 emissions,0.015,0.022,0.041,0.033,0.033,0.032,0.035,0.047,0.054,0.059,0.071
Millions of Metric tons of CO2,CO2 emissions,0.003,0.004,0.006,0.005,0.006,0.006,0.007,0.009,0.011,0.013,0.015
Millions of Metric tons of CO2,CO2 emissions,0,0,0.012,0.021,0.022,0.025,0.027,0.037,0.041,0.049,0.058
Millions of Metric tons of CO2,CO2 emissions,0.099,0.112,0.415,0.425,0.423,0.397,0.318,0.251,0.428,0.405,0.409
Millions of Metric tons of CO2,CO2 emissions,0.002,0.003,0.008,0.008,0.01,0.011,0.012,0.017,0.021,0.024,0.029
Millions of Metric tons of CO2,CO2 emissions,0.014,0.008,0.029,0.031,0.038,0.044,0.04,0.043,0.048,0.047,0.045
Millions of Metric tons of CO2,CO2 emissions,0.007,0.011,0.018,0.019,0.02,0.018,0.02,0.026,0.033,0.035,0.044
Millions of Metric tons of CO2,CO2 emissions,0.015,0.021,0.026,0.022,0.022,0.021,0.024,0.032,0.037,0.042,0.053
Millions of Metric tons of CO2,CO2 emissions,0.066,0.101,0.102,0.107,0.112,0.115,0.128,0.143,0.169,0.174,0.19
Millions of Metric tons of CO2,CO2 emissions,0.101,0.138,0.182,0.163,0.168,0.16,0.172,0.224,0.26,0.281,0.338
Millions of Metric tons of CO2,CO2 emissions,0.02,0.027,0.063,0.035,0.039,0.044,0.046,0.05,0.059,0.06,0.062
Millions of Metric tons of CO2,CO2 emissions,1.502,1.468,1.518,1.643,1.598,1.726,1.788,1.684,1.722,1.889,2.058
Millions of Metric tons of CO2,CO2 emissions,4.66,5.331,6.235,5.955,5.431,5.599,5.738,5.449,5.422,5.708,5.969
Millions of Metric tons of CO2,CO2 emissions,17.182,15.285,18.171,20.161,20.146,21.529,22.326,22.31,22.422,23.483,24.3
Millions of Metric tons of CO2,CO2 emissions,29.009,25.631,25.517,26.371,28.179,29.218,29.197,30.288,32.472,35.611,37.966
Millions of Metric tons of CO2,CO2 emissions,0.73,0.713,0.798,0.81,0.784,0.964,0.822,0.752,0.718,0.815,0.874
Millions of Metric tons of CO2,CO2 emissions,18.549,14.533,16.245,17.884,17.43,15.359,16.616,15.504,16.171,17.349,17.75
Millions of Metric tons of CO2,CO2 emissions,6.812,6.167,7.085,8.04,8.027,9.21,8.897,8.187,7.486,7.239,6.898
Millions of Metric tons of CO2,CO2 emissions,41.602,43.2,47.068,45.669,48.456,47.216,45.892,48.224,46.859,45.883,46.557
Millions of Metric tons of CO2,CO2 emissions,0.144,0.138,0.152,0.139,0.124,0.151,0.178,0.182,0.123,0.116,0.123
Millions of Metric tons of CO2,CO2 emissions,14.126,15.071,18.157,18.486,19.067,19.208,18.555,18.275,18.147,19.319,19.61
Millions of Metric tons of CO2,CO2 emissions,3.323,3.329,3.583,3.992,4.087,4.629,4.584,4.242,4.317,4.709,5.001
Millions of Metric tons of CO2,CO2 emissions,0.105,0.092,0.095,0.088,0.086,0.106,0.121,0.127,0.089,0.092,0.096
Millions of Metric tons of CO2,CO2 emissions,118.359,104.482,106.76,103.142,97.289,95.36,94.108,91.063,89.44,86.742,80.352
Millions of Metric tons of CO2,CO2 emissions,0.456,0.41,0.393,0.403,0.415,0.609,0.62,0.602,0.42,0.433,0.446
Millions of Metric tons of CO2,CO2 emissions,5.762,4.959,5.39,5.576,5.226,5.68,5.956,5.431,5.435,5.692,6.168
Millions of Metric tons of CO2,CO2 emissions,0.667,0.591,0.468,0.442,0.262,0.272,0.259,0.249,0.231,0.28,0.291
Millions of Metric tons of CO2,CO2 emissions,2.367,2.602,2.568,2.562,2.669,2.814,2.627,2.529,4.373,4.546,4.608
Millions of Metric tons of CO2,CO2 emissions,4.821,4.76,5.926,6.438,6.214,5.663,5.955,5.353,5.452,5.889,6.32
Millions of Metric tons of CO2,CO2 emissions,0.721,0.732,0.691,0.757,0.714,0.998,1.125,1.089,1.117,1.216,1.325
Millions of Metric tons of CO2,CO2 emissions,39.649,37.801,34.239,36.305,37.201,37.582,40.764,39.705,38.554,39.312,40.694
Millions of Metric tons of CO2,CO2 emissions,0.392,0.324,0.326,0.361,0.352,0.471,0.506,0.504,0.329,0.361,0.377
Millions of Metric tons of CO2,CO2 emissions,6.314,5.646,6.608,6.68,7.198,7.241,6.545,6.426,7.393,6.419,6.075
Millions of Metric tons of CO2,CO2 emissions,51.623,51.306,53.119,59.571,63.723,69.402,73.132,73.632,72.997,76.108,80.931
Millions of Metric tons of CO2,CO2 emissions,5.294,4.849,5.615,5.839,5.984,5.573,5.446,6.384,5.809,6.633,7.055
Millions of Metric tons of CO2,CO2 emissions,2.714,3.211,3.358,3.544,3.941,3.73,3.655,3.462,2.627,3,3.234
Millions of Metric tons of CO2,CO2 emissions,0.786,0.607,0.533,0.533,0.632,0.618,0.465,0.469,0.864,0.86,0.858
Millions of Metric tons of CO2,CO2 emissions,6.813,5.946,5.781,6.679,6.129,6.3,6.151,6.13,6.491,6.798,6.359
Millions of Metric tons of CO2,CO2 emissions,1.128,1.215,1.386,1.402,1.364,1.468,1.489,1.366,1.352,1.351,1.434
Millions of Metric tons of CO2,CO2 emissions,0.307,0.262,0.184,0.188,0.201,0.211,0.187,0.192,0.312,0.325,0.32
Millions of Metric tons of CO2,CO2 emissions,5.327,5.326,4.624,4.731,4.505,4.722,4.525,4.572,4.895,5.353,5.68
Millions of Metric tons of CO2,CO2 emissions,1.602,2.036,2.071,1.917,2.04,2.022,2.284,2.2,2.085,1.898,1.806
Millions of Metric tons of CO2,CO2 emissions,1.832,2.185,1.597,1.729,1.698,1.773,1.61,1.521,1.479,1.43,1.484
Millions of Metric tons of CO2,CO2 emissions,2.813,2.535,2.603,2.839,2.696,3.316,3.495,3.231,3.159,3.379,3.634
Millions of Metric tons of CO2,CO2 emissions,6.465,7.019,7.964,8.623,8.071,8.216,7.906,7.064,7.041,7.679,8.228
Millions of Metric tons of CO2,CO2 emissions,0.845,0.817,0.843,0.848,0.833,0.894,0.933,0.852,0.838,0.95,1.027
Millions of Metric tons of CO2,CO2 emissions,5.823,6.236,6.35,6.486,6.204,6.568,6.827,6.396,6.625,6.837,7.411
Millions of Metric tons of CO2,CO2 emissions,5.284,4.579,5.576,5.64,6.51,6.508,6.177,6.237,7.074,6.176,5.736
Millions of Metric tons of CO2,CO2 emissions,1.24,1.323,1.398,1.411,1.343,1.53,1.559,1.37,1.716,1.824,1.947
Millions of Metric tons of CO2,CO2 emissions,0.292,0.206,0.224,0.222,0.243,0.286,0.252,0.232,0.176,0.178,0.189
Millions of Metric tons of CO2,CO2 emissions,1.361,1.472,1.177,1.354,1.378,1.464,1.361,1.249,1.323,1.496,1.58
Millions of Metric tons of CO2,CO2 emissions,0.811,1.339,1.678,1.624,1.654,1.639,1.287,1.333,1.324,1.357,1.413
Millions of Metric tons of CO2,CO2 emissions,16.138,16.431,13.417,12.199,11.677,9.605,9.174,8.157,8.046,7.053,6.854
Millions of Metric tons of CO2,CO2 emissions,16.166,14.56,13.641,14.132,13.49,14.553,14.035,12.239,11.759,12.377,13.133
Millions of Metric tons of CO2,CO2 emissions,2.954,2.133,2.224,2.178,2.218,2.498,2.394,2.631,3.318,3.5,3.721
Millions of Metric tons of CO2,CO2 emissions,0.115,0.118,0.129,0.157,0.136,0.13,0.109,0.11,0.138,0.156,0.157
Millions of Metric tons of CO2,CO2 emissions,0.236,0.266,0.311,0.387,0.387,0.406,0.328,0.343,0.391,0.416,0.31
Millions of Metric tons of CO2,CO2 emissions,0.532,0.555,0.54,0.594,0.595,0.686,0.715,0.642,0.576,1.312,1.542
Millions of Metric tons of CO2,CO2 emissions,5.045,4.612,5.189,5.189,5.312,5.507,5.204,6.267,6.3,6.513,10.122
Millions of Metric tons of CO2,CO2 emissions,0.022,0.021,0.026,0.033,0.029,0.027,0.025,0.025,0.032,0.037,0.043
Millions of Metric tons of CO2,CO2 emissions,1.601,1.389,1.095,1.815,1.553,1.335,1.408,1.195,1.149,1.154,1.106
Millions of Metric tons of CO2,CO2 emissions,0.063,0.084,0.259,0.273,0.309,0.298,0.153,0.133,0.248,0.159,0.233
Millions of Metric tons of CO2,CO2 emissions,2.871,2.229,1.085,1.167,1.069,1.07,0.988,1.101,1.049,0.942,1.01
Millions of Metric tons of CO2,CO2 emissions,0.004,0.005,0.007,0.009,0.01,0.007,0.003,0.003,0.003,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,0.719,0.803,0.892,0.996,1.165,1.229,0.567,0.502,0.458,1.134,1.244
Millions of Metric tons of CO2,CO2 emissions,0.142,0.151,0.177,0.21,0.178,0.178,0.136,0.141,0.19,0.22,0.226
Millions of Metric tons of CO2,CO2 emissions,0.001,0.003,0.004,0.004,0.006,0.004,0.002,0.002,0.002,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,24.592,22.961,25.075,29.363,33.297,34.877,29.451,32.933,34.951,34.258,32.651
Millions of Metric tons of CO2,CO2 emissions,0.028,0.038,0.04,0.043,0.049,0.042,0.025,0.022,0.019,0.022,0.025
