Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,7.756,7.289,6.672,6.839,7.274,7.342,7.451,7.327,7.228,7.041,7.155
Millions of Metric tons of CO2,CO2 emissions,0.636,0.587,0.378,0.36,0.335,0.336,0.374,0.346,0.38,0.376,0.299
Millions of Metric tons of CO2,CO2 emissions,0.137,0.115,0.14,0.16,0.159,0.166,0.173,0.163,0.167,0.179,0.16
Millions of Metric tons of CO2,CO2 emissions,27.604,26.323,39.866,40.919,44.066,47.822,48.061,45.821,43.952,44.251,40.333
Millions of Metric tons of CO2,CO2 emissions,1.59,1.415,0.245,0.259,0.267,0.293,0.271,0.215,0.188,0.185,0.215
Millions of Metric tons of CO2,CO2 emissions,4.782,4.513,3.735,3.994,3.814,3.939,3.972,3.811,2.756,2.669,2.544
Millions of Metric tons of CO2,CO2 emissions,11.744,12.179,8.275,10.592,11.649,12.203,13.258,12.953,13.609,14.28,14.503
Millions of Metric tons of CO2,CO2 emissions,9.885,7.817,9.209,9.196,8.751,8.97,9.62,9.887,8.056,8.068,7.961
Millions of Metric tons of CO2,CO2 emissions,0.642,0.653,0.593,0.545,0.59,0.602,0.689,0.774,0.639,0.507,0.452
Millions of Metric tons of CO2,CO2 emissions,0.906,0.632,0.691,0.695,0.681,0.757,0.648,0.529,0.492,0.534,0.572
Millions of Metric tons of CO2,CO2 emissions,18.852,19.06,20.281,22.246,22.317,24.474,24.666,22.199,20.029,19.037,18.106
Millions of Metric tons of CO2,CO2 emissions,0.702,0.681,0.268,0.267,0.291,0.28,0.293,0.257,0.252,0.262,0.466
Millions of Metric tons of CO2,CO2 emissions,0.365,0.353,0.039,0.042,0.045,0.049,0.057,0.044,0.038,0.029,0.026
Millions of Metric tons of CO2,CO2 emissions,3.732,3.924,3.856,4.16,4.109,4.168,4.566,4.283,4.311,4.214,4.577
Millions of Metric tons of CO2,CO2 emissions,2.661,2.843,2.547,2.573,2.549,2.353,2.362,2.192,2.233,2.42,2.674
Millions of Metric tons of CO2,CO2 emissions,0.186,0.211,0.175,0.183,0.219,0.238,0.229,0.218,0.21,0.301,0.259
